Risk,AI,Elevation,ET,GDP,GSH,GSS,Population,Precipitation,Slope,Soil_OC,Temperature,TWI,Urban,WTD,Longitude,Latitude,airport,Finishing_textiles,Firefighting_training,Landfill,Manufacture_articles,Manufacture_fabricated_metal,Manufacture_organic_basic,Manufacture_petroleum,Manufacture_plastics,Manufacture_pulp_paper,Manufacture_rubber,Military,PFAS_production,Sewerage,Tanning_dressing,WWTP
0,9487,31.5,742,14942520,4,5,135,54,0.312387675,104.5709686,14,0,1,-8.575570306,10.00416667,57.44583333,14915,597840,128736,1766,120206,142321,204708,113525,128452,130283,207567,39877,711709,3393,186071,3245
0,9405,30.5,747,6887153.5,4,5,94,54,0.464866698,86.96504974,14,0,1,-7.492179751,10.0125,57.44583333,14467,597916,129063,1338,120101,142740,204575,113044,128040,129787,207240,39993,711964,3701,185573,3542
0,9289,26,754,6887153.5,4,5,94,53,0.359035701,113.6325989,14,0,0,-4.913405051,10.02083333,57.44583333,14022,597992,129392,979,119999,143159,204443,112563,127628,129291,206915,40115,712218,4046,185075,3880
0,9387,25,745,1479265.75,4,5,94,54,0.395710945,95.76985168,14,0,0,-4.180972,10.0125,57.4375,14902,597000,129763,2026,119195,143245,205469,113291,128564,129885,206541,39094,711167,3064,185622,2892
0,9578,21.5,719,432059.5,3,5,20,53,0.34296751,80.15654755,13.80000019,-1,0,-6.546120394,9.8625,57.42916667,23446,594790,124798,10401,120510,136353,208898,122193,136543,130708,211871,36995,705826,6612,194639,6767
0,9668,57,729,1556351,3,4,10,55,0.722783566,49.85826111,13.69999981,-1,0,-29.49568933,10.15416667,57.42916667,9411,597446,136131,7777,116807,150893,204284,105422,122235,121570,200365,41154,714755,10956,177211,10785
1,9462,23.5,729,808227.1875,4,5,11,54,0.235609725,107.7706604,13.80000019,-1,0,-4.684519722,10.0125,57.39583333,17656,592422,133300,6436,114668,145834,209941,114629,131252,130473,203068,34620,707189,3690,185937,3635
0,9467,28,729,1473176.75,4,5,11,54,0.814188719,96.60541534,13.80000019,-1,0,-8.60608835,10.02083333,57.39583333,17293,592499,133619,6371,114561,146245,209812,114154,130850,129979,202735,34761,707446,4037,185440,3966
0,9413,23,729,218135.1875,4,5,11,54,0.310878128,96.30923462,13.80000019,-1,0,-3.967345693,10.0125,57.3875,18298,591506,134016,7351,113764,146364,210836,114918,131803,130610,202379,33730,706394,4429,186014,4397
0,9431,22.5,728,606183.25,4,5,11,54,0.277062446,69.61597443,13.80000019,-1,0,-3.906309606,10.02083333,57.3875,17948,591583,134333,7294,113656,146774,210707,114444,131402,130116,202045,33875,706651,4722,185516,4675
0,9321,21.5,733,606183.25,4,5,11,54,0.131255388,68.8718338,13.80000019,-1,0,-0.473029679,10.02916667,57.3875,17605,591661,134651,7271,113550,147183,210580,113970,131002,129622,201711,34027,706909,5047,185019,4987
0,9405,84,721,3713244,1,1,13,67,2.016523838,68.35314178,15.30000019,-2,0,-32.15075914,25.42916667,57.3875,98899,193847,833218,134776,92052,261566,867180,227042,196833,244014,360538,66820,870731,15033,294208,14954
0,9997,8,676,427203.9688,3,5,42,53,0.364548415,65.35607147,13.69999981,0,0,-0.213626307,9.745833333,57.37916667,32070,588371,125247,18922,117457,134156,216357,130439,145434,131836,212788,32102,697526,14308,202017,14486
0,9976,14,679,168433.3438,4,5,10,53,0.323114157,84.2897644,13.69999981,-1,0,-8.194094759,9.754166667,57.37916667,31621,588433,125525,18473,117282,134544,216197,129960,145017,132082,212431,32004,697773,13836,201520,14015
0,9611,16.5,705,19350.76563,4,5,10,53,0.462940753,108.1647491,13.80000019,-1,0,-6.454566262,9.829166667,57.37916667,27654,589013,128079,14585,115797,138070,214801,125662,141287,134354,209248,31468,700014,9718,197041,9896
0,9478,14.5,714,19350.76563,3,5,10,53,0.325539231,109.6582413,13.80000019,-1,0,-5.569542992,9.8375,57.37916667,27224,589079,128369,14175,115642,138465,214651,125186,140875,134613,208897,31448,700265,9282,196544,9460
0,9722,9,692,,4,5,10,53,0.416846991,74.47887421,13.80000019,-1,0,-0.289921416,9.7625,57.3625,30445,586657,127344,18945,115371,136102,217796,130031,145634,133941,210778,30090,696412,14118,201192,13340
0,9687,7,693,,4,5,10,53,0.2187583,118.9673233,13.80000019,-1,0,-0.228885328,9.770833333,57.3625,30363,586720,127621,18524,115197,136489,217639,129555,145220,134187,210420,30002,696661,13676,200695,13007
0,9517,15,708,1988676.375,3,5,10,54,0.408056438,111.5897064,13.80000019,-1,0,-5.249103532,9.8375,57.3625,28214,587243,129880,15324,113880,139605,216420,125752,141934,136199,207580,29596,698662,10333,196715,10504
0,9787,11,689,300438.3125,4,5,11,54,0.134805351,45.81248474,13.80000019,0,0,-6.134126802,9.7625,57.35416667,29532,585738,128117,19454,114503,136692,218676,130315,146156,134750,210133,29180,695609,14568,201283,12675
0,9166,26,740,6446985,4,5,59,55,0.376362413,131.2797546,13.69999981,0,0,-11.88677806,9.954166667,57.35416667,23392,587314,134759,11894,110996,145713,215331,119430,136824,134075,202036,29277,701418,7481,189847,7572
